sigma,draw,seed,T_top_mech,T_top_share,T_switches,T_cdacf_posture,T_PoW_posture,T_PoS_posture,T_PBFT_posture,T_PoA_posture,T_DPoS_posture,E_top_mech,E_top_share,E_switches,E_cdacf_posture,E_PoW_posture,E_PoS_posture,E_PBFT_posture,E_PoA_posture,E_DPoS_posture
0.05,82,1082,PBFT,0.504,9,0.8624215695422529,0.7969889260907134,0.7667290144279105,0.90090275152237,0.6966409171199573,0.723219653903978,PoS,0.986,1,0.743255782390155,0.7997201926915741,0.7697277475071799,0.902849015547418,0.6967576309159396,0.724950392442861
0.05,83,1083,PoS,0.419,12,0.7490931526272016,0.7572413970806875,0.7214372251674429,0.8520771815892496,0.7564312320078231,0.7358846144160485,PoS,0.986,1,0.6985564530465534,0.7591147009128179,0.7233586401623588,0.8547467056788094,0.7572100219455414,0.7379475177934586
0.05,84,1084,PoS,0.52,11,0.8342325066266653,0.7751484071465452,0.7923659806936759,0.8868712971513898,0.6737452771842866,0.7903895020310424,PoS,0.986,1,0.7738891270401766,0.7744700066426783,0.7934580238881065,0.8862572932030636,0.6714985491397019,0.7915178214533741
0.05,85,1085,PBFT,0.527,10,0.8460104701248748,0.7804161901575014,0.7597826343660288,0.8806116263729805,0.6837681705352803,0.7791936085239363,PoS,0.986,1,0.7339182254300699,0.7806832487879555,0.7606917252953853,0.8813698059648082,0.6823246487151082,0.7810703283139644
0.05,86,1086,PBFT,0.536,10,0.8646830917111418,0.7021346447128493,0.7701784122055746,0.8996446164184284,0.6968008382595954,0.7448182073265752,PoS,0.986,1,0.7431979276048036,0.6990283119831384,0.7691536973314983,0.8951643536285951,0.6921975395541993,0.7427327452976817
0.05,87,1087,PBFT,0.44,14,0.8083272636970177,0.7680115997955353,0.759268905641779,0.879902816667239,0.7072441927954624,0.7825217248697041,PoS,0.986,1,0.7322217183999599,0.7666954078199298,0.7590230500490258,0.8781759401447914,0.7044204094496721,0.7829580286083513
0.05,88,1088,PoS,0.421,11,0.8162295481217998,0.7393063339719151,0.8028238005996697,0.8852845651823604,0.7145292497402584,0.7723385305980591,PoS,0.986,1,0.7882516846019837,0.7399118860870524,0.8053243003230508,0.8873137507452654,0.7140198531238215,0.7750467753718321
0.05,89,1089,PBFT,0.589,7,0.8238900060193516,0.7615740383098974,0.74732762066932,0.9018482400449238,0.6917109688873596,0.7654604501817921,PoS,0.986,1,0.7195340724696329,0.7590928668856122,0.7457114792581628,0.898999798951437,0.6879405502670758,0.7648596632632355
0.05,90,1090,PBFT,0.521,12,0.8413276459159523,0.7621907032100791,0.7099458125122282,0.9025976805672626,0.6890280969069189,0.7968796747969511,PoS,0.986,1,0.6853798841427088,0.7612814812900183,0.7094612043010804,0.9013617262733608,0.6866965558881821,0.7977874348203363
0.05,91,1091,PoS,0.511,12,0.8571204845338859,0.7744142803561838,0.8106939544000691,0.9006816659804332,0.7156412100829052,0.7713592080522824,PoS,0.986,1,0.7995587418515019,0.7764861825621442,0.8142171165272218,0.903554938695152,0.7161846705600045,0.775043649989598
